,ISO language name,639-1,639-2/T,639-2/B,639-3,Notes
0,Abkhazian,ab,abk,abk,abk,also known as Abkhaz
1,Afar,aa,aar,aar,aar,
2,Afrikaans,af,afr,afr,afr,
3,Akan,ak,aka,aka,aka + 2,"macrolanguage, Twi is tw/twi, Fanti is fat"
4,Albanian,sq,sqi,alb,sqi + 4,"macrolanguage, called ""Albanian Phylozone"" in 639-6"
5,Amharic,am,amh,amh,amh,
6,Arabic,ar,ara,ara,ara + 29,"macrolanguage, Standard Arabic is arb"
7,Aragonese,an,arg,arg,arg,
8,Armenian,hy,hye,arm,hye,"ISO 639-3 code hye is for Eastern Armenian, hyw is for Western Armenian, and xcl is for Classical Armenian"
9,Assamese,as,asm,asm,asm,
10,Avaric,av,ava,ava,ava,also known as Avar
11,Avestan,ae,ave,ave,ave,ancient
12,Aymara,ay,aym,aym,aym + 2,macrolanguage
13,Azerbaijani,az,aze,aze,aze + 2,"macrolanguage, also known as Azeri"
14,Bambara,bm,bam,bam,bam,
15,Bashkir,ba,bak,bak,bak,
16,Basque,eu,eus,baq,eus,
17,Belarusian,be,bel,bel,bel,
18,Bengali,bn,ben,ben,ben,also known as Bangla
19,Bislama,bi,bis,bis,bis,"Language formed from English and Vanuatuan languages, with some French influence."
20,Bosnian,bs,bos,bos,bos,
21,Breton,br,bre,bre,bre,
22,Bulgarian,bg,bul,bul,bul,
23,Burmese,my,mya,bur,mya,also known as Myanmar
24,"Catalan, Valencian",ca,cat,cat,cat,
25,Chamorro,ch,cha,cha,cha,
26,Chechen,ce,che,che,che,
27,"Chichewa, Chewa, Nyanja",ny,nya,nya,nya,
28,Chinese,zh,zho,chi,zho + 16,macrolanguage
29,"Church Slavonic, Old Slavonic, Old Church Slavonic",cu,chu,chu,chu,"ancient, in use by the Eastern Orthodox Church"
30,Chuvash,cv,chv,chv,chv,
31,Cornish,kw,cor,cor,cor,
32,Corsican,co,cos,cos,cos,
33,Cree,cr,cre,cre,cre + 6,macrolanguage
34,Croatian,hr,hrv,hrv,hrv,
35,Czech,cs,ces,cze,ces,
36,Danish,da,dan,dan,dan,
37,"Divehi, Dhivehi, Maldivian",dv,div,div,div,
38,"Dutch, Flemish",nl,nld,dut,nld,"Flemish is not to be confused with the closely related West Flemish which is referred to as Vlaams (Dutch for ""Flemish"") in ISO 639-3 and has the ISO 639-3 code vls"
39,Dzongkha,dz,dzo,dzo,dzo,
40,English,en,eng,eng,eng,
